2026-04-18 17:06:11.496 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-18 17:06:11.529 [main] INFO  com.ticketing.TicketingSystemApplication - Starting TicketingSystemApplication using Java 17.0.14 with PID 19436 (D:\java-project\mianshiXM\04gaiv1\target\classes started by mao in D:\java-project\mianshiXM\04gaiv1)
2026-04-18 17:06:11.531 [main] INFO  com.ticketing.TicketingSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-18 17:06:13.149 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-18 17:06:13.150 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-18 17:06:13.180 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-04-18 17:06:13.382 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=4d30ae5f-9742-30ee-8704-54d49217ff8a
2026-04-18 17:06:13.737 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-18 17:06:13.743 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-18 17:06:13.745 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-18 17:06:13.745 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-18 17:06:13.797 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
2026-04-18 17:06:13.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2118 ms
2026-04-18 17:06:14.060 [main] INFO  com.ticketing.agent.ai.AiModelService - 初始化AI模型，提供商: deepseek
2026-04-18 17:06:14.240 [main] INFO  com.ticketing.agent.ai.AiModelService - DeepSeek模型初始化成功: deepseek-chat
2026-04-18 17:06:14.608 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 初始化向量存储服务...
2026-04-18 17:06:14.608 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 根据配置初始化嵌入模型: embeddingProvider=auto
